"Rango","acumulativa"
"(0,50]",2
"(50,100]",38
"(100,150]",51
"(150,200]",35
"(200,250]",20
"(250,300]",12
"(300,350]",11
"(350,400]",6
"(400,450]",4
"(450,500]",2
"(500,550]",2
"(550,600]",1
