"c_muestra_wineseq","avg_PER","min_PER","max_PER","sd","var","total","mediaan"
"B0200N",0.00287361781609195,2.4e-05,0.137679,0.010454386305586,0.000109294193026425,348,0.000753
"B0200O",0.00512811282051282,1.7e-05,0.222184,0.0230699449491384,0.000532222359956277,195,0.000189
"B0200P",0.00465098139534884,2.2e-05,0.870909,0.0594525324746095,0.00353460361764449,215,9e-05
"B0200Q",0.00190476190476191,2.31159890984995e-06,0.95394370332015,0.0416317426185672,0.00173320199345862,525,6.93479672954986e-06
"B0200R",0.00200810040160643,1e-05,0.142942,0.0105140127497818,0.000110544464102575,498,0.000282
"B0200S",0.00116826518691589,1e-05,0.088695,0.00563405533095688,3.17425794722836e-05,856,8.8e-05
"B0200T",0.00318462738853503,1.3e-05,0.242289,0.0151961787099481,0.000230923847384679,314,0.000323
"B0200U",0.00448440807174888,1.7e-05,0.169223,0.0168497253280291,0.000283913243630024,223,0.000302
"B0200V",0.00307684615384615,2.9e-05,0.093179,0.00869781927761981,7.56520601861347e-05,325,0.000912
"B0200W",0.0024570515970516,1.1e-05,0.253999,0.0171934479913805,0.000295614653832306,407,0.000251
"B0200X",0.00316465506329114,8e-06,0.813761,0.0458691312845371,0.0021039772047981,316,5.6e-05
"B0200Y",0.00305818960244648,1.8e-05,0.070824,0.0079198511524412,6.27240422768242e-05,327,0.000377
"B0200Z",0.00269541778975741,7.71849118934231e-06,0.617980997074692,0.033854117716963,0.00114610128639399,371,1.54369823786846e-05
"B02010",0.00363636363636364,2.3e-05,0.459901,0.0300104530719317,0.000900627293582614,275,0.000535
"B02011",0.00414928630705394,9e-06,0.800872,0.0516080879031751,0.00266339473702184,241,0.000265
"B02012",0.00312503125,1.7e-05,0.23532,0.0167112040412071,0.000279264340506858,320,0.000383
"B02013",0.00255749872122762,1.4e-05,0.169698,0.0099872467125226,9.97450968967934e-05,391,0.000589
"B02014",0.00192312884615385,1.8e-05,0.224371,0.0127318470133225,0.00016209992837065,520,0.000211
"B02015",0.00310554037267081,1.4e-05,0.724105,0.0408139789945113,0.00166578088136441,322,7.1e-05
"B02016",0.00251261557788945,1.5e-05,0.440317,0.0224401097635901,0.000503558526201973,398,0.000372
"B02017",0.00204084489795918,1.6e-05,0.226225,0.0146824654113902,0.000215574790556671,490,0.0003195
"B02018",0.00225221396396396,4.5e-05,0.108607,0.00952573115928128,9.07395541189022e-05,444,0.000361
"B02019",0.00813032520325203,1.6e-05,0.292335,0.0332295391917097,0.00110420227489337,123,6.2e-05
"B0201A",0.00689646206896552,3e-05,0.250805,0.0271149495307633,0.000735220488055844,145,6.1e-05
"B0201B",0.00546448087431694,4.58095696190934e-06,0.987118349023111,0.072965392896515,0.00532394856054281,183,9.16191392381869e-06
"B0201C",0.00334432441471572,2.6e-05,0.427438,0.0265016335517488,0.00070233658091118,299,5.3e-05
"B0201D",0.00374532958801498,8e-06,0.913919,0.0559481856356488,0.00313019947592102,267,5.8e-05
"B0201E",0.00147272901325479,1.8e-05,0.518388,0.0201948342556646,0.000407831330613766,679,7.3e-05
"B0201G",0.00632920886075949,3.5e-05,0.201837,0.0249486847315661,0.000622436869835081,158,6.9e-05
"B0201I",0.00588251176470588,1.6e-05,0.239494,0.0251730828668356,0.00063368410102057,170,1.6e-05
"B0201J",0.0027099539295393,5.2e-05,0.507384,0.0266942900966005,0.000712585123761461,369,0.000314
"B0201K",0.00552467955801105,1.3e-05,0.299379,0.0285189488439426,0.000813330443163412,181,4e-05
"B0201L",0.00574710344827586,9e-06,0.37209,0.0343317939252811,0.00117867207412796,174,2.8e-05
"B0201M",0.00393698031496063,1.3e-05,0.11154,0.0144313231966145,0.000208263089205144,254,0.0001595
"B0201N",0.00168918918918919,8.05548618886893e-06,0.191325852471826,0.0106974213005812,0.000114434822482128,592,3.22219447554757e-05
"B0201O",0.00300303603603604,2.9e-05,0.10695,0.0100706723928683,0.000101418442444481,333,0.00075
"B0201P",0.00398406374501992,2.75381954771268e-06,0.976028000837161,0.0616010262908152,0.00379468644008171,251,8.26145864313803e-06
