"Rango","acumulativa"
"(0.05,0.1]",3
"(0.1,0.15]",10
"(0.15,0.2]",5
"(0.2,0.25]",10
"(0.25,0.3]",8
"(0.3,0.35]",2
"(0.35,0.4]",2
"(0.4,0.45]",3
"(0.45,0.5]",1
"(0.5,0.55]",3
"(0.55,0.6]",1
"(0.6,0.65]",1
"(0.7,0.75]",2
"(0.8,0.85]",2
"(0.85,0.9]",3
"(0.9,0.95]",1
"(0.95,1]",3
