"Rango","acumulativa"
"(100,150]",3
"(150,200]",8
"(200,250]",7
"(250,300]",7
"(300,350]",13
"(350,400]",8
"(400,450]",4
"(450,500]",4
"(500,550]",2
"(550,600]",1
NA,3
