"","genus_specie","avg_PER","min_PER","max_PER","sd","mediaan","var","total","limit"
"59","Chitinophaga sp.",0.00220828435359545,1.47099924979038e-05,0.0381950312658442,0.00290405227484554,0.0015905,8.43351961503557e-06,490,0.00511233662844099
"60","Chloroflexus sp.",0.000652093833273521,6e-06,0.0253770150806032,0.00139551008993167,0.0003275,1.94744841110109e-06,446,0.00204760392320519
"61","Chlorothrix sp.",0.000483220125128723,6e-06,0.0152956172173742,0.00106870616469977,0.000261,1.14213286646729e-06,451,0.00155192628982849
"62","Chondromyces sp.",0.00163811604821929,1.48663515000149e-05,0.1814230153283,0.0082523605350076,0.000853,6.81014543997508e-05,489,0.00989047658322689
"63","Chryseolinea sp.",0.00597527146481219,1.47099924979038e-05,0.0679616666236148,0.00594417199782772,0.004533,3.53331807397592e-05,490,0.0119194434626399
"64","Chthoniobacter sp.",0.013123222666589,1.05253186540222e-05,0.0541374032054745,0.00855179396168199,0.0114675,7.31331799630606e-05,492,0.021675016628271
"65","Chthonomonas sp.",0.00120094326340282,4e-06,0.0229623137598598,0.001676190010842,0.000749,2.80961295244651e-06,491,0.00287713327424482
"66","Clostridium sp.",0.00184650996274636,1.48663515000149e-05,0.085347376472838,0.00486325315692334,0.0011845,2.36512312683249e-05,492,0.00670976311966971
"67","Cohnella sp.",0.000679636952732349,5e-06,0.0116289773250284,0.0008139385436447,0.0005135,6.62495952830455e-07,484,0.00149357549637705
"68","Comamonas sp.",0.00055621891452769,8e-06,0.0192940877061827,0.00148636162796317,0.000288,2.20927088908132e-06,465,0.00204258054249086
"69","Conexibacter sp.",0.00232034397810323,7e-06,0.026448362720403,0.00260456098214956,0.0016905,6.7837379097359e-06,492,0.00492490496025279
"70","Contubernalis sp.",0.00179386588577927,1.47099924979038e-05,0.153740261261789,0.00719046232602923,0.000898,5.17027484620457e-05,484,0.0089843282118085
"71","Coprothermobacter sp.",0.00461482168936777,1.05253186540222e-05,0.029972,0.00328074532496194,0.004137,1.07632898872596e-05,492,0.00789556701432971
"72","Coxiella sp.",0.00120361830103258,1.2e-05,0.0195116251898586,0.0016102333134726,0.000655,2.59285132381696e-06,491,0.00281385161450518
"73","Cystobacter fuscus",0.000798590762322352,1.1e-05,0.115885188431201,0.00570194155722293,0.000246,3.25121375219859e-05,453,0.00650053231954528
"74","Cytophaga sp.",0.000623715885984626,5e-06,0.0131371518654756,0.000994873868506431,0.000354,9.89774014236951e-07,465,0.00161858975449106
"75","Dactylosporangium sp.",0.000591893466616944,6e-06,0.0119136617410807,0.000940588115510128,0.000309,8.84706003038895e-07,463,0.00153248158212707
"76","Defluviicoccus sp.",0.00258259546460234,2.10506373080445e-05,0.156146820462244,0.00715927070081979,0.0019855,5.12551569676167e-05,490,0.00974186616542213
"77","Defluviimonas sp.",0.000534864069903886,4e-06,0.0239046617595513,0.00147150281913299,0.0002395,2.16532054671634e-06,456,0.00200636688903688
"78","Desulfocapsa sp.",0.00192176091812433,4e-06,0.0171918814260916,0.00185763995933197,0.00138,3.45082621850687e-06,481,0.00377940087745629
"79","Desulfococcus sp.",0.00035949252809374,6e-06,0.0191333088505325,0.00116545068908581,0.000188,1.3582753086906e-06,459,0.00152494321717955
"80","Desulfomonile sp.",0.000357115074052594,6e-06,0.00771623641578799,0.000488867047688063,0.000245,2.38990990315243e-07,469,0.000845982121740657
"81","Desulfovibrio sp.",0.00100931378374974,1.1e-05,0.012853470437018,0.0013466620532234,0.00063,1.81349868559187e-06,484,0.00235597583697315
"82","Desulfuromonas sp.",0.000477841287998281,9e-06,0.0118187494425118,0.000814617527764561,0.0002655,6.63601716541245e-07,452,0.00129245881576284
"83","Devosia sp.",0.00228380615511491,1.05253186540222e-05,0.017926,0.00173961644508085,0.001993,3.02626537599574e-06,485,0.00402342260019576
"84","Dokdonella sp.",0.00185217999853186,6e-06,0.0357831996912654,0.00227134113546652,0.001317,5.15899055366233e-06,485,0.00412352113399838
"85","Dongia sp.",0.00178548916382202,6e-06,0.0182725839583433,0.00170792776153427,0.001318,2.91701723861945e-06,485,0.00349341692535629
"86","Dyadobacter sp.",0.000667817655879587,5e-06,0.0105041346061748,0.000926067887619905,0.00038,8.57601732480793e-07,455,0.00159388554349949
"87","Dyella sp.",0.000646551941774945,2e-06,0.0297282409107602,0.00245875943609062,0.000208,6.04549796456468e-06,449,0.00310531137786557
"88","Elstera sp.",0.000575692231515374,1.05253186540222e-05,0.00706985011917747,0.000545494502274171,0.000454,2.97564252011345e-07,479,0.00112118673378954
"89","Escherichia sp.",0.0223509557427065,1.59060904420303e-05,0.076677,0.0145645424778032,0.0206865,0.000212125897587733,480,0.0369154982205096
"90","Ferruginibacter sp.",0.00782592315148505,1.59060904420303e-05,0.033194,0.00436911897922437,0.007404,1.90892006546186e-05,477,0.0121950421307094
"91","Fimbriimonas sp.",0.00161526905762433,1.05253186540222e-05,0.0305409510456829,0.00186378837643909,0.0011955,3.47370711214944e-06,476,0.00347905743406342
"92","Flavisolibacter sp.",0.0111915382870861,1.05253186540222e-05,0.061644,0.00820876187839526,0.008911,6.73837715761953e-05,476,0.0194003001654813
"93","Flavitalea sp.",0.00185935449312548,1.1e-05,0.0558789167342041,0.00316204642955022,0.001017,9.99853762263127e-06,467,0.00502140092267569
"94","Flavobacterium sp.",0.00628714440453418,1.05253186540222e-05,0.048417,0.00672854322713867,0.004051,4.52732939594737e-05,473,0.0130156876316729
"95","Fluviicola sp.",0.00054873620916779,7e-06,0.0243771707902749,0.00125660617925992,0.000314,1.57905908975421e-06,448,0.00180534238842771
"96","Frigoribacterium sp.",0.00129337384586522,6e-06,0.023379,0.00230813667259528,0.0004795,5.32749489937921e-06,448,0.0036015105184605
"97","Gaiella sp.",0.0151429057002102,1.47099924979038e-05,0.050829,0.00846194768174835,0.01391,7.16045585686462e-05,470,0.0236048533819585
"98","Gelria sp.",0.000837009796517327,1.48663515000149e-05,0.010999,0.00087382919164559,0.000616,7.63577456171986e-07,469,0.00171083898816292
"99","Gemmata sp.",0.0153802270350505,1.48663515000149e-05,0.043109,0.0078984990289,0.0150025,6.23862869095342e-05,468,0.0232787260639505
"100","Gemmatimonas sp.",0.025325327510819,1.48663515000149e-05,0.107248,0.0136901257917921,0.0245475,0.000187419544195091,468,0.0390154533026111
"101","Geobacillus sp.",0.00109851736625807,1.1e-05,0.051994,0.00281355718084878,0.00058,7.91610400990575e-06,466,0.00391207454710685
"102","Geobacter sp.",0.00204487584676314,1.05253186540222e-05,0.031473,0.00363642556934692,0.000614,1.32235909214001e-05,459,0.00568130141611006
"103","Haliangium sp.",0.0116199920282858,1.48663515000149e-05,0.038564,0.00579806921287651,0.0111125,3.36176065973064e-05,464,0.0174180612411623
