"Rango","acumulativa"
"(0,0.05]",221
"(0.05,0.1]",270
"(0.1,0.15]",117
"(0.15,0.2]",71
"(0.2,0.25]",39
"(0.25,0.3]",18
"(0.3,0.35]",8
"(0.35,0.4]",3
"(0.4,0.45]",1
"(0.45,0.5]",3
"(0.55,0.6]",1
"(0.6,0.65]",1
"(0.65,0.7]",1
"(0.85,0.9]",1
