"c_muestra_wineseq","max_PER"
"A09A0J",0.057164
"A56008",0.057364
"A0214N",0.057569
"A29A06",0.057641
"A3T003",0.057788
"A21A02",0.058346
"A29A17",0.058461
"A0213J",0.058464
"A09A0B",0.058559
"A3D005",0.05884
"A3D000",0.059277
"A06A0R",0.059395
"A33A23",0.05979
"A0213A",0.06001
"WWW02Y",0.060595
"A24A2L",0.060725
"A29A05",0.061354
"A3I007",0.061443
"P01041",0.061452
"A3B01J",0.061733
"A04A01",0.061808
"APG00V",0.0618932038834952
"A5600A",0.062063
"A25A0R",0.062388
"A31A04",0.062607
"A24A12",0.062659
"APG009",0.0626761572636507
"000A08",0.062822
"A0213F",0.062822
"A3I005",0.063421
"A31A01",0.06351
"A05A0D",0.063536
"A5F000",0.063814
"A33A26",0.063986
"P0104Z",0.064086
"000A0A",0.064205
"A05A0B",0.064205
"WWW034",0.064423
"A24A16",0.06476
"A02024",0.064831
"A19A02",0.064947
"A05A0L",0.064949
"A5600C",0.065136
"A3K000",0.065605
"A27A02",0.065981
"A3B002",0.06615
"A31A08",0.066217
"A3D003",0.066381
"A06A0N",0.066387
"A3I001",0.06643
"A02144",0.066515
"A31A05",0.06664
"P0104Y",0.066699
"A0214R",0.066874
"A09A0O",0.06704
"A3I003",0.067052
"A24A1G",0.067299
"A47004",0.067307
"A24A1B",0.067419
"A04A0D",0.06773
"A3G004",0.067774
"A3V000",0.067848
"APG011",0.0679616666236148
"A0213C",0.068073
"APG00U",0.0680866691149467
"A3U00B",0.068163
"A31A06",0.068275
"WWW01D",0.068591
"A3U009",0.069007
"A05A0F",0.069096
"A06A24",0.069334
"APG00O",0.0693359642632026
"P01005",0.069458
"A24A2G",0.069521
"A24A0E",0.06954
"A24A0Q",0.069883
"A24A2J",0.069992
"E02004",0.070135
"A24A24",0.070373
"APG010",0.0704184069758921
"A3Y001",0.070553
"A3D002",0.070574
"A02140",0.070579
"A24A23",0.070584
"A24A0I",0.071017
"A05A0J",0.071301
"A24A1F",0.07131
"A09A0R",0.071362
"A33A28",0.071562
"A02136",0.071604
"A06A1K",0.071816
"WWW01U",0.071992
"A31A02",0.072412
"A24A0J",0.072638
"A03A07",0.072844
"A04A0J",0.073069
"A3S002",0.073522
"A3Y000",0.073835
"A24A2E",0.073838
"WWW002",0.07388
"A06A0P",0.074324
"A0213B",0.074448
"A09A10",0.074507
"A06A09",0.074534
"A06A0J",0.07468
"A24A06",0.075111
"WWW029",0.075304
"A24A1Q",0.075418
"A21A03",0.075499
"A0213K",0.075936
"A0214J",0.075993
"A3G000",0.076144
"A21A01",0.076238
"A0213L",0.076808
"A20A03",0.076896
"A3U006",0.077002
"A31A07",0.077189
"A06A07",0.077326
"000A04",0.077481
"A24A1E",0.077481
"A24A1R",0.077528
"A06A0L",0.077584
"A07A0B",0.07761
"A25A0T",0.077779
"A03A04",0.077904
"P0101A",0.078526
"A04A07",0.078654
"000A06",0.079133
"A24A1V",0.079133
"A09A1H",0.079276
"A09A0K",0.079584
"A09A1C",0.079946
"A09A11",0.080156
"A17A0C",0.080625
"A06A0F",0.080924
"A24A0D",0.081028
"A24A0C",0.081494
"WWW01T",0.081614
"A24A05",0.081768
"A12A02",0.081836
"A06A0V",0.081861
"P0104X",0.082174
"A06A0H",0.083294
"A3V001",0.0834
"A3E003",0.083844
"A33A24",0.084082
"A3U00D",0.084083
"A17A05",0.084212
"A02094",0.084342
"A33A27",0.084797
"A31A03",0.084847
"A10A06",0.085174
