"c_muestra_wineseq","avg_PER","min_PER","max_PER","sd","var","total","mediaan"
"A03A07",0.00136052244897959,6e-06,0.072844,0.00452925959287445,2.05141924596453e-05,735,0.000171
"A03A09",0.00133861311914324,1.4e-05,0.118282,0.00581936102795788,3.3864962773715e-05,747,0.000113
"A04A01",0.00158223101265823,8e-06,0.061808,0.00495885266692025,2.45902197722221e-05,632,0.000245
"A04A03",0.00141447524752475,1.1e-05,0.088163,0.00483497623383527,2.33769951817519e-05,707,0.000194
"A04A05",0.00291539650145773,5e-06,0.586271,0.0333710333756931,0.00111362586856163,343,6.2e-05
"A04A07",0.00159491706539075,1e-05,0.078654,0.00496623037235706,2.46634441113217e-05,627,0.000235
"A04A09",0.00136610245901639,6e-06,0.094594,0.00468941705653454,2.19906323301171e-05,732,0.000203
"A04A0B",0.00144507514450867,7e-06,0.055498,0.00432507457588473,1.87062700869645e-05,692,0.000175
"A04A0D",0.00156499374021909,1e-05,0.06773,0.00479702636436362,2.30114619403996e-05,639,0.000228
"A04A0F",0.00154320987654321,1.1e-05,0.028426,0.00368840932600937,1.36043633561929e-05,648,0.000283
"A04A0H",0.00154318672839506,1.1e-05,0.055928,0.00453768887453856,2.0590620322111e-05,648,0.000244
"A04A0J",0.00141047390691114,1e-05,0.073069,0.00449062132319297,2.01656798683153e-05,709,0.000196
"A05A01",0.00148815029761905,9e-06,0.049502,0.00446182196280281,1.99078552277495e-05,672,0.000135
"A05A03",0.00126894289340102,1.2e-05,0.056498,0.00421211208439119,1.77418882114743e-05,788,0.000109
"A05A04",0.00113636022727273,7e-06,0.054298,0.00357389604374863,1.27727329315221e-05,880,0.000135
"A05A06",0.00151982522796353,1.1e-05,0.044817,0.00434669953185694,1.88937968202454e-05,658,0.0001645
"A05A09",0.00160265064102564,1.4e-05,0.047536,0.00453617261431944,2.05768619869017e-05,624,0.000162
"A05A0B",0.00138895833333333,1.3e-05,0.064205,0.00462887486377847,2.14264825045201e-05,720,0.00015
"A05A0D",0.00113001355932203,8e-06,0.063536,0.00405087116068253,1.64095571604494e-05,885,8.7e-05
"A05A0F",0.00153379294478528,1.8e-05,0.069096,0.00489448909811464,2.3956023531563e-05,652,0.00016
"A05A0H",0.00143269484240688,9e-06,0.049004,0.00440737772950132,1.94249784505042e-05,698,0.000142
"A05A0J",0.0015337009202454,1.4e-05,0.071301,0.00496354715970077,2.46368004065736e-05,652,0.000148
"A05A0L",0.00161818932038835,1.4e-05,0.064949,0.00516113504924204,2.66373149965146e-05,618,0.000181
"A06A01",0.00165556953642384,1.6e-05,0.053581,0.00464821173126174,2.16058722986393e-05,604,0.000279
"A06A03",0.00158482567353407,1e-05,0.085579,0.00591423987827819,3.4978233337816e-05,631,0.000137
"A06A05",0.00212153503184713,9e-06,0.156627,0.0100793944236335,0.000101594191947174,471,0.000382
"A06A07",0.00166391181364393,1.2e-05,0.077326,0.00550268493166838,3.02795414572102e-05,601,0.00025
"A06A09",0.00139085674547983,1.1e-05,0.074534,0.00515348875100622,2.65584463067476e-05,719,0.000128
"A06A0B",0.00130037451235371,1e-05,0.095851,0.00508559911075252,2.58633183152868e-05,769,0.000144
