"Rango","acumulativa"
"(50,100]",1
"(100,150]",1
"(200,250]",3
"(250,300]",3
"(300,350]",6
"(350,400]",4
"(400,450]",9
"(450,500]",15
"(500,550]",28
"(550,600]",80
NA,605
