"","genus_specie","avg_PER","min_PER","max_PER","sd","mediaan","var","total","limit"
"1","Alternaria sp.",0.0129522809614479,4e-06,0.30024,0.0279715338022908,0.002787,0.000782406703252694,309,0.0409238147637386
"2","Aureobasidium pullulans",0.00915028941157971,9e-06,0.21899,0.0235939497899177,0.001388,0.000556674466689158,296,0.0327442392014974
"3","Fusarium oxysporum",0.0353309794520548,1.8e-05,0.243013,0.044135460659836,0.0174185,0.00194793888765594,292,0.0794664401118908
"4","Mortierella sp.",0.0434445647840532,7e-06,0.400009,0.0516008081437357,0.027467,0.00266264340108662,301,0.0950453729277889
"5","Penicillium sp.",0.0193404633333333,6.2e-05,0.234745,0.0325178230610654,0.0074025,0.00105740881663076,300,0.0518582863943988
