"Rango","acumulativa"
"(0,50]",4
"(50,100]",7
"(100,150]",11
"(150,200]",12
"(200,250]",22
"(250,300]",19
"(300,350]",23
"(350,400]",24
"(400,450]",9
"(450,500]",15
"(500,550]",8
"(550,600]",5
NA,20
