"Rango","acumulativa"
"(0,0.05]",4
"(0.05,0.1]",15
"(0.1,0.15]",13
"(0.15,0.2]",16
"(0.2,0.25]",21
"(0.25,0.3]",8
"(0.3,0.35]",16
"(0.35,0.4]",12
"(0.4,0.45]",13
"(0.45,0.5]",14
"(0.5,0.55]",7
"(0.55,0.6]",6
"(0.6,0.65]",6
"(0.65,0.7]",5
"(0.7,0.75]",8
"(0.75,0.8]",2
"(0.8,0.85]",6
"(0.85,0.9]",4
"(0.9,0.95]",3
