"Rango","acumulativa"
"(0.05,0.1]",34
"(0.1,0.15]",91
"(0.15,0.2]",113
"(0.2,0.25]",80
"(0.25,0.3]",61
"(0.3,0.35]",38
"(0.35,0.4]",32
"(0.4,0.45]",17
"(0.45,0.5]",16
"(0.5,0.55]",16
"(0.55,0.6]",10
"(0.6,0.65]",5
"(0.65,0.7]",4
"(0.75,0.8]",3
"(0.8,0.85]",6
"(0.85,0.9]",1
"(0.9,0.95]",2
"(0.95,1]",6
