"","genus_specie","avg_PER","min_PER","max_PER","sd","mediaan","var","total","limit"
"1","Alternaria sp.",0.0129916686684582,4e-06,0.30024,0.0280084815672218,0.00282156140664048,0.000784475039701401,308,0.0410001502356799
"2","Aureobasidium pullulans",0.00918691725435657,9e-06,0.21899,0.0236261550939674,0.001445,0.000558195204524203,295,0.032813072348324
"3","Fusarium oxysporum",0.0352781467576792,1.8e-05,0.243013,0.0440691015689156,0.017498,0.0019420857130914,293,0.0793472483265948
"4","Mortierella elongata",0.0377012986111111,7e-06,0.363141,0.0634779783509232,0.010777,0.00402945373552027,288,0.101179276962034
"5","Mortierella sp.",0.0433612317880795,7e-06,0.400009,0.0515353724636071,0.0274585,0.00265589461496271,302,0.0948966042516865
"6","Penicillium sp.",0.0192791328903654,6.2e-05,0.234745,0.0324810145926655,0.007388,0.00105501630896895,301,0.0517601474830309
"7","Tetracladium sp.",0.02112046875,4e-06,0.238187,0.03537024815347,0.005689,0.00125105445443804,288,0.05649071690347
