"c_muestra_wineseq","avg_PER","min_PER","max_PER","sd","var","total","mediaan"
"A09A0X",0.0277779444444444,6e-05,0.477031,0.0818261789802696,0.00669552356651111,36,0.0023625
"A09A0Z",0.0078125234375,4.6e-05,0.201369,0.0226269458233051,0.000511978677290785,128,0.001056
"A09A10",0.00840333613445378,2.6e-05,0.137198,0.0234652914511211,0.000550619902886056,119,0.000913
"A09A11",0.00432904761904762,3.2e-05,0.135313,0.0167073566647692,0.000279135766723809,231,0.000287
"A09A14",0.00574714942528736,9e-05,0.233465,0.01921604787041,0.00036925649575789,174,0.000719
"A09A1B",0.0079365,3.2e-05,0.098066,0.01748590593215,0.000305756906268,126,0.001022
"A09A1C",0.00425527234042553,9e-06,0.11547,0.0138316071679538,0.00019131335684859,235,0.000268
"A09A1D",0.00540533513513514,6e-06,0.546579,0.0409924806361154,0.00168038346870229,185,0.000251
"A09A1H",0.00490202450980392,1.8e-05,0.193794,0.0167317911220558,0.000279952834152106,204,0.000359
"A09A1J",0.00999993,2.9e-05,0.532943,0.0564250592141318,0.00318378730731828,100,0.000147
"A10A02",0.00684932191780822,9e-06,0.602646,0.050050688074079,0.00250507137668876,146,0.0003135
"A10A04",0.00591715976331361,1.7e-05,0.332318,0.0351790591722147,0.00123756620424218,169,0.000151
"A10A06",0.00510208163265306,9e-06,0.308632,0.0322485902684287,0.001039971574301,196,0.000161
"A11A0B",0.00680280272108844,2.2e-05,0.752838,0.0621920209016452,0.00386784746383067,147,8.6e-05
"A12A01",0.00694436805555556,1.3e-05,0.699197,0.0586565652116625,0.00344059264243002,144,0.000157
"A12A02",0.0144928260869565,1.8e-05,0.919031,0.110535228195645,0.0122180366722634,69,8.9e-05
"A14A01",0.00342467808219178,1.7e-05,0.184698,0.0153836766662687,0.000236657507772301,292,0.000334
"A14A02",0.00452485067873303,2.5e-05,0.179626,0.0163482096061802,0.000267263957327602,221,0.000534
"A14A03",0.00934571028037383,9.2e-05,0.261422,0.0307442156160998,0.000945206793849233,107,0.001842
"A16A01",0.0277774444444444,1.1e-05,0.969674,0.161508750637843,0.0260850765325968,36,1.7e-05
"A16A03",0.00444445777777778,2.7e-05,0.163709,0.0176024156631383,0.000309845037177897,225,0.000427
"A16A04",0.00411530041152263,1.1e-05,0.250935,0.019688987233614,0.000387656218285414,243,9.8e-05
"A17A01",0.00884942477876106,6.1e-05,0.243256,0.0309334973667028,0.000956881259335809,113,0.000306
"A17A03",0.00480780288461538,7.8e-05,0.118368,0.0153796359890016,0.000236533203154195,208,0.000465
"A17A04",0.00657901315789474,4.5e-05,0.261993,0.0273287225547892,0.000746859076476647,152,0.0005565
"A17A05",0.0303030606060606,2.5e-05,0.908455,0.158258895940706,0.0250458781443712,33,0.000173
"A17A06",0.00588233529411765,2.7e-05,0.424924,0.0343393007002067,0.00117918757257922,170,0.000328
"A17A07",0.00458721559633028,6e-06,0.533421,0.0368163109135761,0.0013554407492851,218,0.00012
"A17A08",0.00434791304347826,5e-06,0.410463,0.0292089274289042,0.00085316144154699,230,0.000138
"A17A09",0.00595232738095238,1.3e-05,0.264812,0.0237579105856381,0.000564438315395175,168,0.0003325
"A17A0A",0.00598796407185629,1e-05,0.406334,0.0346247131472424,0.00119887076052882,167,0.000203
"A17A0B",0.00943399056603774,2.3e-05,0.454329,0.0493152295399795,0.00243199186458086,106,0.000411
"A17A0D",0.00555548888888889,9e-06,0.351689,0.0287358000856792,0.000825746206564121,180,0.000142
"A17A0E",0.00584790643274854,9e-06,0.440485,0.0356254863580838,0.00126917527825002,171,0.000131
"A17A0G",0.00662249006622517,8e-06,0.566941,0.0466692552256647,0.00217801938331823,151,0.000255
"A17A0H",0.00574708045977012,3.4e-05,0.24666,0.0229133314090157,0.000525020756259385,174,0.000654
"A17A0I",0.00578036416184971,3.2e-05,0.264147,0.0225885266549679,0.000510241536442197,173,0.001037
"A17A0J",0.00613513496932515,4.1e-05,0.183247,0.0195162383536249,0.000380883559475498,163,0.000648
"A17A0L",0.00666664666666667,8e-06,0.575724,0.0478288104993953,0.00228759511378707,150,0.000163
"A17A0M",0.00518131606217617,8e-06,0.296406,0.024727192264173,0.000611434037269376,193,0.000249
"A17A1F",0.00473936966824645,2.1e-05,0.227871,0.0199192250967042,0.000396775528453171,211,0.00033
"A17A1H",0.00434783913043478,1.9e-05,0.227853,0.018664761641893,0.000348373327148681,230,0.000224
"A17A1K",0.00353348763250883,1.5e-05,0.158221,0.0134447249204624,0.000180760628186903,283,0.000201
"A17A1L",0.00571444571428571,7e-06,0.764545,0.0583045581467285,0.00339942150068525,175,5.9e-05
"A17A1M",0.00299413473053892,1.6e-05,0.16322,0.014049533541992,0.000197389392747559,334,0.000142
"A17A1N",0.00309606811145511,2.2e-05,0.094514,0.0105227333781152,0.000110727917746899,323,0.000197
"A17A1O",0.00970879611650485,5.5e-05,0.573327,0.0588004953099319,0.00345749824869332,103,0.000383
"A18A01",0.00925921296296296,4.3e-05,0.180049,0.0260277869374399,0.000677445692860765,108,0.00117
"A18A02",0.00571435428571429,2.1e-05,0.404797,0.0357436828914408,0.00127761086664388,175,0.000226
"A19A01",0.00884956637168142,3e-05,0.234217,0.0271333141638769,0.000736216737515645,113,0.001039
"A19A02",0.00675656756756757,9.5e-05,0.371682,0.0329145620555451,0.00108336839530833,148,0.000286
"A19A03",0.00813010569105691,2.2e-05,0.157431,0.018484178629398,0.000341664859603492,123,0.001052
"A20A01",0.0116278488372093,6.9e-05,0.192318,0.0349660050154659,0.00122262150674159,86,0.0005875
"A20A03",0.0151515151515152,9.2e-05,0.364485,0.0480935959329442,0.00231299396976131,66,0.0032495
"A21A01",0.0133333866666667,2.1e-05,0.45494,0.0550073014332651,0.00302580321097009,75,0.001059
"A21A03",0.0212765319148936,1.7e-05,0.396482,0.0740862389419165,0.00548877080055874,47,0.000575
"A22A01",0.00370371111111111,9e-06,0.145212,0.0136140586588021,0.000185342593165304,270,0.000189
"A22A02",0.00380231939163498,9e-06,0.09345,0.0119044028661622,0.00014171480759989,263,0.000286
"A22A03",0.00408165306122449,1.4e-05,0.168026,0.0154708334722426,0.000239346688325861,245,0.000287
"A22A04",0.00395249802371541,1.1e-05,0.240222,0.0200736209685913,0.00040295025879067,253,0.000264
"A22A05",0.00436678165938865,1.2e-05,0.349558,0.0269223187276174,0.000724811245671416,229,0.000194
"A24A01",0.00621121118012422,2.4e-05,0.823168,0.0648550251999036,0.00420617429368013,161,0.000285
"A24A02",0.00487801463414634,3.4e-05,0.140398,0.0150578931016776,0.00022674014466155,205,0.000477
"A24A04",0.00452493212669683,2.4e-05,0.117828,0.0142465379938078,0.000202963844809009,221,0.000476
"A24A05",0.00537628494623656,3.9e-05,0.152177,0.017464345522807,0.000305003364539989,186,0.0004525
"A24A06",0.00460823502304147,2.5e-05,0.326989,0.0247148592291693,0.000610824266717656,217,0.000402
"A24A07",0.00925926851851852,8.5e-05,0.2039,0.0263093592435416,0.000692182383805729,108,0.0015685
"A24A08",0.00529097883597884,3.2e-05,0.205839,0.0228738887554657,0.000523214786797422,189,0.000453
"A24A0C",0.00326799673202614,2.6e-05,0.16274,0.0147371469787107,0.00021718350107212,306,0.000335
"A24A0D",0.00288179827089337,2.1e-05,0.221164,0.0172998312543041,0.000299284161427396,347,0.000128
"A24A0E",0.00297611904761905,6e-06,0.426414,0.0260459086643747,0.00067838935815295,336,4.9e-05
"A24A0F",0.00182489416058394,4.5e-05,0.169858,0.00912250068728463,8.32200187895085e-05,548,0.000224
"A24A0H",0.004000028,3.2e-05,0.316268,0.0236414741184468,0.00055891929849319,250,0.000604
"A24A0J",0.00537632258064516,3e-05,0.140732,0.0151675055218331,0.000230053223754839,186,0.000541
"A24A0K",0.00546448087431694,3.8e-05,0.097721,0.0134649266516577,0.000181304249734522,183,0.000649
"A24A0L",0.00432894805194805,5.8e-05,0.219488,0.0162370174485149,0.000263640735623377,231,0.00058
"A24A0M",0.00270273243243243,2.1e-05,0.395287,0.0211758940116774,0.000448418487193797,370,0.000186
"A24A0N",0.00581386046511628,4.6e-05,0.234846,0.0193458278867484,0.000374261056623691,172,0.000464
"A24A0O",0.00238098333333333,2.2e-05,0.168378,0.00970474562638055,9.41820876727523e-05,420,0.000263
"A24A0P",0.00290702325581395,2.8e-05,0.493279,0.0269664588587635,0.000727189903381383,344,0.000193
"A24A0Q",0.00327868852459016,2.3e-05,0.123155,0.0119937131847725,0.000143849155958585,305,0.00028
"A24A0S",0.00273990684931507,3.4e-05,0.187621,0.0132239807445813,0.000174873666733057,365,0.000201
"A24A0T",0.0416666666666667,6.4e-05,0.607463,0.143597265623617,0.0206201746945797,24,6.4e-05
"A24A0U",0.00370368518518518,1.6e-05,0.616829,0.0378298384437136,0.00143109667667747,270,0.000229
"A24A0V",0.00531917021276596,4e-05,0.284483,0.0249444380799799,0.000622224991125953,188,0.000483
"A24A0W",0.00359685251798561,2.5e-05,0.417763,0.0268740130929836,0.000722212579721852,278,0.000293
"A24A0X",0.0040321935483871,4.7e-05,0.298109,0.0203291997574966,0.000413276362780201,248,0.000472
"A24A0Y",0.0149255373134328,2.4e-05,0.469658,0.0608265824346282,0.00369987313067662,67,7.1e-05
"A24A0Z",0.00366292307692308,6.5e-05,0.249399,0.0171143356542824,0.000292900484887443,273,0.000585
"A24A10",0.00704226056338028,9.7e-05,0.370629,0.0331317625630521,0.00109771369053446,142,0.0010685
"A24A11",0.0058478947368421,6.4e-05,0.216459,0.019610793173824,0.000384583208906501,171,0.001345
"A24A12",0.00499994,3.4e-05,0.227672,0.019443514783394,0.00037805026713206,200,0.00067
"A24A13",0.00471699528301887,4.8e-05,0.194287,0.0197227863817146,0.000388988302658746,212,0.000382
"A24A14",0.0044247389380531,2.5e-05,0.26102,0.0208911876870605,0.000436441722975988,226,0.000401
"A24A16",0.00189399053030303,2.4e-05,0.185866,0.00983986157368507,9.68228757892841e-05,528,0.000192
"A24A17",0.00704224647887324,8e-05,0.097258,0.0135950191860591,0.000184824546669314,142,0.002325
"A24A18",0.00884944247787611,6.5e-05,0.19431,0.0234261014068473,0.000548782227123894,113,0.000652
"A24A19",0.00680263945578231,7e-05,0.265819,0.0247090988928197,0.000610539568095144,147,0.000773
"A24A1A",0.0044052731277533,2.5e-05,0.111537,0.0118908974446892,0.000141393442040115,227,0.000737
"A24A1B",0.00436685589519651,2.5e-05,0.140781,0.014138002305632,0.000199883109194055,229,0.000323
"A24A1D",0.00367649632352941,2e-05,0.206025,0.0175237726091601,0.000307082606457551,272,0.000518
"A24A1E",0.00202426923076923,3.9e-05,0.197108,0.0101204442439105,0.000102423391694102,494,0.000313
"A24A1F",0.00193049806949807,3.2e-05,0.203084,0.0104814722517319,0.000109861260563826,518,0.000242
"A24A1G",0.00406492682926829,3.2e-05,0.767212,0.0489248306909851,0.00239363905814156,246,0.000162
"A24A1I",0.00505057070707071,1.5e-05,0.259884,0.0284439099863615,0.000809056015312234,198,0.000208
"A24A1J",0.00497516915422886,1.5e-05,0.342319,0.0292512601238177,0.000855636218831245,201,0.00021
"A24A1K",0.00757570454545455,2.6e-05,0.195015,0.0244521057410519,0.000597905475171583,132,0.0005375
"A24A1L",0.0196077450980392,1.6e-05,0.440758,0.0728888761561991,0.00531278826731373,51,4.8e-05
"A24A1M",0.0114941724137931,1.1e-05,0.516238,0.0678534850890192,0.00460409543872574,87,0.000101
"A24A1N",0.023255976744186,4.2e-05,0.982154,0.149716179374984,0.0224149343666423,43,4.2e-05
"A24A1O",0.0104167291666667,8.5e-05,0.673511,0.0703758763755816,0.00495276397563115,96,0.000339
"A24A1P",0.0057470632183908,9e-06,0.669091,0.0515345942490862,0.00265581440441795,174,0.0001245
"A24A1Q",0.00478457416267943,9e-06,0.420931,0.031784632205788,0.00101026284445721,209,0.000133
"A24A1R",0.00473944075829384,4.6e-05,0.49301,0.0351348749067694,0.00123445943471433,211,0.000319
"A24A1S",0.00403221774193548,1.3e-05,0.26213,0.0247773185723679,0.000613915515636606,248,0.000248
"A24A1U",0.00520833333333333,1.5e-05,0.220641,0.0201803114018526,0.000407244968275742,192,0.000362
"A24A1V",0.00438600438596491,8e-06,0.585808,0.041662071722667,0.00173572822022465,228,5.8e-05
"A24A1W",0.00653603267973856,2.8e-05,0.371943,0.03862362848296,0.00149178467718972,153,0.000335
"A24A1X",0.00571433714285714,1.7e-05,0.544544,0.0424192228566836,0.00179939046776499,175,0.000219
"A24A1Y",0.0119047976190476,1.3e-05,0.382613,0.0496276263982311,0.00246290130192241,84,3.9e-05
"A24A1Z",0.00408155510204082,2e-05,0.196349,0.0173004632896018,0.000299306030034861,245,0.000368
"A24A20",0.00290691860465116,3.1e-05,0.194792,0.0126114893518829,0.000159049663672656,344,0.000533
"A24A22",0.00546454098360656,3.2e-05,0.138355,0.0191470366899927,0.000366609014007927,183,0.00051
"A24A23",0.00591702958579882,6.9e-05,0.834591,0.0642565675288402,0.0041289064705884,169,0.000138
"A24A25",0.00526320526315789,3.8e-05,0.281548,0.0252418305750148,0.00063715001077775,190,0.000342
"A24A26",0.00462950925925926,8e-06,0.465012,0.0338540143215488,0.00114609428568363,216,7.15e-05
"A24A27",0.00537637096774194,5.6e-05,0.368448,0.0296538498243007,0.000879350809402179,186,0.00045
"A24A28",0.00319484025559105,1.3e-05,0.2911,0.0185375757287051,0.000343641713897477,313,0.000178
"A24A29",0.00862062931034483,1.7e-05,0.198284,0.0252609041459345,0.00063811327827009,116,0.000104
"A24A2A",0.00961528846153846,1.2e-05,0.229621,0.0305067661031339,0.000930662778071321,104,0.000197
"A24A2B",0.00632913291139241,8.5e-05,0.250848,0.0233671856864662,0.000546025366905789,158,0.0010175
"A24A2D",0.00396815079365079,2.2e-05,0.255735,0.0265659450673938,0.000705749437323785,252,9.9e-05
"A24A2E",0.00386097683397683,1.1e-05,0.283193,0.0226254664130999,0.000511911730410314,259,0.000102
"A24A2G",0.00347215972222222,1.6e-05,0.351204,0.0254841798053362,0.000649443420350708,288,0.000104
"A24A2H",0.00440532158590308,1.4e-05,0.52111,0.0369114248978422,0.00136245328798904,227,9.6e-05
"A24A2I",0.00353359717314488,1.4e-05,0.479161,0.0306937151682566,0.000942104150830063,283,0.000111
"A24A2J",0.00338973220338983,1.6e-05,0.199835,0.0162413228818299,0.000263780568951851,295,0.000115
"A24A2K",0.00425538723404255,2.2e-05,0.42292,0.0292149769046194,0.000853514875537443,235,0.000286
"A24A2L",0.00375935338345865,1.7e-05,0.131386,0.0138808122122185,0.000192676947670875,266,0.0003215
"A24A2M",0.00473951184834123,6.5e-05,0.481195,0.0349941510390849,0.00122459060694629,211,0.000258
"A24A2N",0.00806461290322581,5e-05,0.120788,0.0199787663904227,0.000399151106483084,124,0.000645
"A24A2O",0.00286513753581662,1.5e-05,0.229424,0.0181109989397596,0.000328008282595972,349,0.000124
"A24A2P",0.00218349344978166,7.3e-05,0.211702,0.0116451826388648,0.000135610278692517,458,0.000291
"A24A2Q",0.00359718345323741,9e-06,0.445653,0.0310262992946192,0.000962631247919288,278,1.7e-05
"A24A2R",0.00386111969111969,1e-05,0.668826,0.0422886159251572,0.00178832703686546,259,1.9e-05
"A24A2S",0.00358431541218638,1e-05,0.541527,0.0340722270863935,0.00116091665862677,279,3e-05
"A24A2T",0.00227280227272727,9e-06,0.521209,0.0263560770587477,0.000694642797926647,440,2.7e-05
"A25A0M",0.0116278837209302,1.7e-05,0.260313,0.0382663529033993,0.0014643137645275,86,0.0014335
"A25A0O",0.00990095049504951,1.6e-05,0.556479,0.0559720925911076,0.00313287514902752,101,0.000252
"A25A0P",0.0178571071428571,8e-06,0.465842,0.0734079723254482,0.00538873040093377,56,5.7e-05
"A25A0R",0.00321538585209003,8e-06,0.235902,0.0174741483694552,0.000305345861237735,311,0.000237
"A25A0S",0.00666665333333333,1e-05,0.548252,0.0454108462724604,0.00206214495918103,150,0.000213
"A25A0T",0.00624995,1.7e-05,0.450588,0.0381007257509906,0.0014516653027522,160,0.000365
"A27A00",0.00427348717948718,1.1e-05,0.485071,0.0324951807803939,0.00105593677395048,234,0.0002285
"A27A02",0.0232558139534884,6.5e-05,0.270109,0.0500161395328956,0.00250161421377409,43,0.00216
"A28A02",0.00510209183673469,1.3e-05,0.344314,0.0284529514033387,0.000809570443560752,196,0.0002645
"A28A03",0.00606055151515152,2.1e-05,0.262249,0.0225185676263828,0.000507085887943977,165,0.000717
"A28A04",0.00699291608391608,5.6e-05,0.16342,0.0197280366546301,0.00038919543024643,143,0.001186
"A29A05",0.0027322349726776,2.5e-05,0.081162,0.00871522800113456,7.59551991117599e-05,366,0.000302
"A29A06",0.00434778260869565,2.6e-05,0.21548,0.0207836733270525,0.000431961076965635,230,0.000393
"A29A07",0.00259071243523316,1.9e-05,0.16177,0.0141566738335239,0.00020041141402878,386,0.000149
"A29A09",0.00434789130434783,2e-05,0.160074,0.0186938281973951,0.000349459212673724,230,0.000199
"A29A12",0.00380238403041825,1.7e-05,0.122518,0.0140161628372462,0.000196452820680202,263,0.000248
"A29A14",0.00421943459915612,3.3e-05,0.182973,0.0197209165911708,0.000388914551195916,237,0.00023
"A29A18",0.00281694366197183,2e-05,0.093872,0.011473234651065,0.000131635113358399,355,0.000218
"A29A22",0.0045249185520362,7.1e-05,0.353467,0.0250214068976705,0.000626070803138793,221,0.000567
"A29A23",0.00497506965174129,1.4e-05,0.320385,0.0272646735888241,0.000743362425905125,201,0.000353
"A29A24",0.01190475,8e-05,0.265012,0.0424671734166166,0.00180346081799699,84,0.000881
