"c_muestra_wineseq","avg_PER","min_PER","max_PER","sd","var","total","mediaan"
"A3A00E",0.0192307307692308,1.3e-05,0.871711,0.120762255034202,0.0145835222409457,52,0.0001175
"A3A00F",0.0454544545454545,4.9e-05,0.930198,0.197923089460029,0.0391735493414026,22,0.0005155
"A3A01E",0.0625000625,1.2e-05,0.655384,0.165367492066798,0.0273464074324625,16,0.0022595
"A3B01P",0.00555544444444444,1.4e-05,0.480344,0.0420509296020141,0.00176828068039354,180,5.8e-05
"A3F00A",0.00480765384615385,1.7e-05,0.180275,0.022446006455974,0.000503823205821628,208,0.000103
"A3F00B",0.0357141428571429,3.1e-05,0.82049,0.155264022023351,0.0241069165348677,28,7.8e-05
"A3F00C",0.0384616538461538,1.4e-05,0.948184,0.185673458213056,0.0344746330847954,26,6.2e-05
"A3G00A",0.0153846923076923,9.7e-05,0.96742,0.119934591433587,0.0143843062223413,65,0.000194
"A3G00B",0.0666666666666667,4.3e-05,0.581435,0.176917380174503,0.0312997594078095,15,0.00026
"A3G00C",0.00877186842105263,2.8e-05,0.373149,0.0455356372499748,0.0020734942597613,114,5.6e-05
"A3G00Q",0.0625000625,5e-05,0.417578,0.139505164485749,0.0194616909181958,16,1e-04
"A3K001",0.00641030769230769,1.5e-05,0.289615,0.0302092300109272,0.000912597577853102,156,0.00015
"A3O000",0.00568184090909091,2.7e-05,0.1961,0.0272802576526947,0.000744212457597406,176,0.000107
"A3O001",0.0555555,3.3e-05,0.517889,0.160738926154934,0.0258370023814412,18,0.000166
"A3O008",0.00657901973684211,1e-05,0.368943,0.0421467038846143,0.00177634464833736,152,1.9e-05
"E02000",0.00787396850393701,3.2e-05,0.595946,0.0534449279824252,0.00285636032704662,127,0.00045
"E1400A",0.00666666,1.4e-05,0.243381,0.030698178649343,0.000942378172386979,150,0.000151
"E1400B",0.00598793413173653,1.5e-05,0.692598,0.0541898991882971,0.0029365451740378,167,0.000136
"E1400C",0.00763354961832061,1.1e-05,0.231675,0.0305435188744529,0.000932906545234058,131,0.000156
"P0000L",0.00757576515151515,9.6e-05,0.322,0.0360152534864398,0.00129709848369252,132,0.000289
"P00012",0.0056178595505618,9.5e-05,0.179197,0.0214076396904412,0.000458287037115754,178,0.000285
"P00015",0.00395244268774704,8.9e-05,0.248613,0.0190328512371622,0.000362249426215949,253,0.000447
"P00025",0.00371765427509294,1e-04,0.183519,0.0176736962193934,0.000312359538055401,269,0.000299
"P00027",0.00909074545454545,8.9e-05,0.501253,0.0519035113755218,0.00269397449310892,110,0.000313
"P0002A",0.0126582911392405,9.9e-05,0.499604,0.0578659392247535,0.00334846692236287,79,0.000693
"P0002C",0.00421950210970464,7.7e-05,0.161524,0.0171459486076984,0.000293983553657834,237,0.000308
"P0002H",0.0062112298136646,7.8e-05,0.249299,0.0247397346442036,0.000612054470265606,161,0.000389
"P0002T",0.00662259602649007,8.5e-05,0.167729,0.0226950683583251,0.000515066127789051,151,0.00051
"P00032",0.00359722302158273,8.4e-05,0.140863,0.0164522772705454,0.000270677427386906,278,0.000251
"P00033",0.00429191845493562,7.1e-05,0.175851,0.0171345735637963,0.000293593611213148,233,0.000212
"P0005F",0.0204081020408163,9.4e-05,0.69596,0.100374241325328,0.0100749883216352,49,0.000283
"P00072",0.00480757692307692,8.3e-05,0.235975,0.021451525474935,0.000460167945201784,208,0.000333
"P00076",0.00440537444933921,8.7e-05,0.356419,0.0254079041724974,0.000645561594438813,227,0.000346
"P00077",0.00263151842105263,5.7e-05,0.109185,0.0107268156808707,0.000115064574651375,380,0.000228
