"c_muestra_wineseq","max_PER"
"A3H000",0.223954
"A0214J",0.225502
"A04A05",0.227181
"A3G001",0.22734
"A24A12",0.227672
"A17A1H",0.227853
"A17A1F",0.227871
"WWW03Z",0.228952
"A24A2O",0.229424
"A24A2A",0.229621
"A3Q001",0.229625
"A5D000",0.232922
"A09A14",0.233465
"A04A03",0.233713
"A3D008",0.233922
"A19A01",0.234217
"BMK03T",0.234355
"A3S000",0.234745
"A24A0N",0.234846
"A02034",0.235087
"E14004",0.235398
"A25A0R",0.235902
"B0100H",0.236905316746137
"A09A0J",0.237085
"A0214C",0.238187
"WWW04E",0.238803
"A22A04",0.240222
"E14002",0.241048
"E08004",0.241175
"WWW030",0.241748
"A02015",0.243013
"A17A01",0.243256
"A09A0K",0.24355
"WWW02H",0.244386
"A0213M",0.245533
"A5601A",0.246469630951756
"A17A0H",0.24666
"A46000",0.246742
"A3D002",0.247176
"A46003",0.247435
"A24A0Z",0.249399
"A24A2B",0.250848
"A16A04",0.250935
"A07A05",0.252082
"A02054",0.25243
"A3U008",0.25254
"A3P00C",0.253103
"A37000",0.253916
"APY000",0.25453
"A06A07",0.255282
"A24A2D",0.255735
"A02097",0.255942
"A06A05",0.258356
"BMK03K",0.258772
"A24A1I",0.259884
"E14001",0.259911
"A25A0M",0.260313
"A0213C",0.260784
"A24A14",0.26102
"A14A03",0.261422
"A17A04",0.261993
"A24A1S",0.26213
"A28A03",0.262249
"APG007",0.262982133912172
"A17A0I",0.264147
"WWW007",0.264487
"A17A09",0.264812
"A33A21",0.265005
"A29A24",0.265012
"A24A19",0.265819
"WWW018",0.267891
"A27A02",0.270109
"A3Q000",0.270409
"A09A0V",0.271939
"A3D000",0.273882
"A06A1K",0.274145
"A3P009",0.274664
"A3S001",0.27572
"WWW02W",0.278311
"A02127",0.278594
"A03A07",0.279865
"WWW03M",0.280117
"A3I004",0.280449
"A46009",0.281193
"A5I000",0.281428
"A24A25",0.281548
"A06A0D",0.281591
"A02140",0.282449
"A46007",0.282743
"A24A2E",0.283193
"A3T001",0.283207
"A04A07",0.283954
"WWW02N",0.284009
"A24A0V",0.284483
"A09A0T",0.284796
"A04A0H",0.285968
"A47000",0.290059
"A24A28",0.2911
"A3E000",0.293897
"A17A0M",0.296406
"E0800B",0.296542930008501
"A24A0X",0.298109
"A02148",0.30024
"A02124",0.300469
"A09A0B",0.301452
"A47001",0.302068
"A3D003",0.303245
"WWW01T",0.307904
"A10A06",0.308632
"A09A0N",0.310573
"000A0A",0.310982
"A05A0B",0.310982
"A3V001",0.311199
"A06A09",0.314813
"A24A0H",0.316268
"A29A23",0.320385
"A3I003",0.320807
"A02096",0.321772
"APG00Z",0.322886017653831
"A06A1M",0.323478
"A3Q006",0.324085
"BMK03P",0.325313453066757
"WWW041",0.326211
"A46008",0.326477
"A3U005",0.326621
"A24A06",0.326989
"WWW04D",0.328342
"WWW01E",0.330244
"A02061",0.330493
"A10A04",0.332318
"A09A0M",0.334016
"APG006",0.334573851503874
"WWW02D",0.335
"A46002",0.336565
"A05A01",0.338611
"A31A00",0.340749
"A06A0P",0.341078
"A24A1J",0.342319
"A28A02",0.344314
"A22A05",0.349558
"A24A2G",0.351204
"000C07",0.351426
"A17A0D",0.351689
"A29A22",0.353467
"A3G000",0.354769
"A46006",0.356044
"WWW02R",0.356764
"A3Q00O",0.357834
"A3K000",0.358277
"APQ000",0.361979
"A37003",0.362019
"A02123",0.363141
"A20A03",0.364485
"A3Q00N",0.36626
"A24A27",0.368448
"A3Q007",0.369266
"A05A04",0.36991
"WWW03P",0.370268
"A24A10",0.370629
"A19A02",0.371682
"A24A1W",0.371943
"B0100G",0.37381375666675
"E11003",0.377942
"A3U006",0.379924
"A06A03",0.380961
"A24A1Y",0.382613
"A3U003",0.384012
"A06A0H",0.387308
"A06A0L",0.393176
"A24A0M",0.395287
"A21A03",0.396482
"BMK03Q",0.398663
"A05A06",0.399102
"WWW03J",0.400009
"A46001",0.400877
"A3U002",0.403603
"A18A02",0.404797
"A17A0A",0.406334
"A17A08",0.410463
"A24A0W",0.417763
"A3D004",0.419211
"A24A1Q",0.420931
"A24A2K",0.42292
"A17A06",0.424924
"A24A0E",0.426414
"A3Q009",0.434822
"A17A0E",0.440485
"A24A1L",0.440758
"A04A0D",0.441368
"A24A2Q",0.445653
"A25A0T",0.450588
"A17A0B",0.454329
"A21A01",0.45494
"A24A26",0.465012
"A25A0P",0.465842
"A24A0Y",0.469658
"A33A26",0.47431
"A3V000",0.47573
"A09A0X",0.477031
"E14003",0.478837
"A24A2I",0.479161
"A24A2M",0.481195
"WWW02Q",0.482538
"A27A00",0.485071
"A24A1R",0.49301
"A24A0P",0.493279
"WWW01R",0.504899
"WWW017",0.511135
"A24A1M",0.516238
"A24A2H",0.52111
"A24A2T",0.521209
"A09A1J",0.532943
"A17A07",0.533421
"A24A2S",0.541527
"A09A0L",0.541766
"A06A01",0.542146
"E08003",0.542467
"A24A1X",0.544544
"A33A24",0.545222
"A09A1D",0.546579
"A3Q008",0.547592
"A25A0S",0.548252
"A3C000",0.554399
"A25A0O",0.556479
"A06A0F",0.557701
"A17A0G",0.566941
"A17A1O",0.573327
"A03A09",0.574608
"A17A0L",0.575724
"A3B001",0.577451
"000A06",0.585808
"A24A1V",0.585808
"A10A02",0.602646
"A24A0T",0.607463
"A33A22",0.612721
"A24A0U",0.616829
"A02126",0.6491
"A24A2R",0.668826
"A24A1P",0.669091
"A24A1O",0.673511
"A12A01",0.699197
"A11A0B",0.752838
"A17A1L",0.764545
"A24A1G",0.767212
"A3B002",0.813123
"A24A01",0.823168
"000A01",0.832678
"000C09",0.832678
"A02128",0.832678
"A24A23",0.834591
"A02062",0.875545
"A17A05",0.908455
"A12A02",0.919031
"A03A02",0.953153
"A16A01",0.969674
"A02137",0.972337
"A24A1N",0.982154
"A3E004",0.982265
"A3E003",0.985605
