"Rango","acumulativa"
"(0.1,0.15]",2
"(0.15,0.2]",9
"(0.2,0.25]",8
"(0.25,0.3]",7
"(0.3,0.35]",9
"(0.35,0.4]",10
"(0.4,0.45]",2
"(0.45,0.5]",4
"(0.5,0.55]",3
"(0.55,0.6]",7
"(0.6,0.65]",2
"(0.65,0.7]",6
"(0.75,0.8]",2
"(0.8,0.85]",4
"(0.85,0.9]",3
"(0.9,0.95]",5
"(0.95,1]",5
