"Rango","acumulativa"
"(0.05,0.1]",2
"(0.1,0.15]",7
"(0.15,0.2]",10
"(0.2,0.25]",5
"(0.25,0.3]",3
"(0.3,0.35]",6
"(0.35,0.4]",7
"(0.4,0.45]",9
"(0.45,0.5]",4
"(0.5,0.55]",2
"(0.55,0.6]",8
"(0.6,0.65]",6
"(0.65,0.7]",3
"(0.7,0.75]",5
"(0.75,0.8]",1
"(0.8,0.85]",2
"(0.85,0.9]",1
"(0.9,0.95]",3
"(0.95,1]",6
