"Rango","acumulativa"
"(0,50]",5
"(50,100]",3
"(100,150]",2
"(150,200]",11
"(200,250]",11
"(250,300]",18
"(300,350]",14
"(350,400]",4
"(400,450]",6
"(450,500]",3
"(500,550]",2
"(550,600]",3
NA,8
