"","genus_specie","avg_PER","min_PER","max_PER","sd","mediaan","var","total","limit"
"16","Erwinia sp.",0.0039868275862069,1.5e-05,0.021375,0.00467099495419006,0.001917,2.1818193862069e-05,29,0.00865782254039695
"17","Escherichia sp.",0.00559193548387097,0.000174,0.016059,0.00459588737848295,0.004731,2.11221807956989e-05,31,0.0101878228623539
"18","Faecalibacterium sp.",0.0285673870967742,0.000722,0.116321,0.03129460989657,0.016077,0.000979352608578495,31,0.0598619969933442
"19","Flavisolibacter sp.",0.00213437931034483,1.5e-05,0.006807,0.00198578916327621,0.001893,3.94335860098522e-06,29,0.00412016847362104
"20","Gaiella sp.",0.0025079,7e-06,0.008348,0.00236146368038831,0.0019735,5.5765107137931e-06,30,0.00486936368038831
"21","Gemmata sp.",0.00327631034482759,4e-05,0.016898,0.00341352051306323,0.003079,1.16521222931034e-05,29,0.00668983085789081
"22","Gemmatimonas sp.",0.00544829032258065,3.6e-05,0.016486,0.00459511969516608,0.004592,2.11151250129032e-05,31,0.0100434100177467
"23","Granulicella sp.",0.00352858620689655,5.3e-05,0.018194,0.00376842489374579,0.002582,1.4201026179803e-05,29,0.00729701110064234
"24","Kaistobacter sp.",0.0017411,1.3e-05,0.0058,0.00171757429895006,0.0012215,2.95006147241379e-06,30,0.00345867429895006
"25","Koribacter sp.",0.00217041379310345,7e-06,0.012642,0.00334732537704403,0.00098,1.1204587179803e-05,29,0.00551773917014748
"26","Lactobacillus sp.",0.0746187419354839,0.001337,0.56479,0.140377875556411,0.022715,0.0197059479457312,31,0.214996617491895
"27","Massilia sp.",0.00413903225806452,1.7e-05,0.018063,0.0046260955566141,0.003173,2.14007600989247e-05,31,0.00876512781467862
"28","Methanobrevibacter sp.",0.0131826,1e-05,0.082918,0.0263221103658188,0.0015785,0.000692853494110345,30,0.0395047103658188
"29","Mycobacterium sp.",0.0280678666666667,6e-05,0.252831,0.0618653608833165,0.007462,0.00382732287722299,30,0.0899332275499832
"30","Nitrosococcus sp.",0.00454806451612903,1.5e-05,0.010153,0.00353404409457007,0.00363,1.24894676623656e-05,31,0.0080821086106991
"31","Nitrososphaera sp.",0.0213199677419355,9.4e-05,0.057673,0.0177736255680224,0.018936,0.000315901765832258,31,0.0390935933099578
"32","Nocardioides sp.",0.00281716666666667,1.8e-05,0.010505,0.0027837942611669,0.0019645,7.74951048850575e-06,30,0.00560096092783356
"33","Novosphingobium sp.",0.00440746666666667,1.3e-05,0.012474,0.00385526982582089,0.0036635,1.48631054298851e-05,30,0.00826273649248756
"34","Oenococcus oeni",0.0279448709677419,3.4e-05,0.435643,0.0772468684831266,0.008479,0.00596707869044946,31,0.105191739450869
"35","Paenibacillus sp.",0.00179772413793103,2.3e-05,0.01255,0.00247341729909613,0.000929,6.11779313546798e-06,29,0.00427114143702716
"36","Planctomyces sp.",0.00260487096774194,1.7e-05,0.008695,0.00230551309895701,0.002258,5.31539064946237e-06,31,0.00491038406669895
"37","Planomicrobium sp.",0.00109813333333333,2.3e-05,0.00659,0.00155585629451932,0.000553,2.4206888091954e-06,30,0.00265398962785266
"38","Promicromonospora sp.",0.00284977419354839,1.3e-05,0.014738,0.00353293033905923,0.001623,1.24815967806452e-05,31,0.00638270453260762
"39","Pseudomonas sp.",0.021447,3.6e-05,0.115703,0.0280054820514365,0.008092,0.000784307024933333,31,0.0494524820514365
"40","Rhodopirellula sp.",0.00104675862068966,1.3e-05,0.004295,0.00115509296642467,0.000643,1.33423976108374e-06,29,0.00220185158711433
"41","Rhodoplanes sp.",0.00241061290322581,1.3e-05,0.007727,0.00228633419367364,0.001839,5.22732404516129e-06,31,0.00469694709689944
"42","Roseiflexus sp.",0.00109448275862069,1e-05,0.005039,0.00120462156537377,0.000597,1.45111311576355e-06,29,0.00229910432399446
"43","Rubrobacter sp.",0.00446475862068966,2.2e-05,0.0168,0.00413207306717976,0.003674,1.70740278325123e-05,29,0.00859683168786941
"44","Ruminococcus sp.",0.0156048709677419,8.6e-05,0.072411,0.0202445764601155,0.008376,0.000409842876049462,31,0.0358494474278574
"45","Solibacillus sp.",0.00154089655172414,3.4e-05,0.005766,0.00137395982330602,0.000912,1.88776559605911e-06,29,0.00291485637503016
"46","Solirubrobacter sp.",0.00325046666666667,1.3e-05,0.010849,0.00300540599969264,0.0024695,9.03246522298851e-06,30,0.00625587266635931
"47","Sphingomonas sp.",0.00730109677419355,2e-05,0.022027,0.00625275673259317,0.005782,3.90969667569892e-05,31,0.0135538535067867
"48","Staphylococcus sp.",0.129006290322581,0.001491,0.507384,0.138436783029702,0.09523,0.0191647428956129,31,0.267443073352283
"49","Streptococcus sp.",0.0106400322580645,0.001039,0.069487,0.0133726943146196,0.007366,0.000178828953232258,31,0.0240127265726841
"50","Streptomyces sp.",0.0022401,1.5e-05,0.00737,0.00221937787725952,0.0015475,4.92563816206897e-06,30,0.00445947787725952
"51","Turicibacter sp.",0.0153269666666667,7.9e-05,0.060058,0.0180603569875042,0.0064665,0.000326176494516092,30,0.0333873236541709
"52","Veillonella dispar",0.0017863,1.8e-05,0.009012,0.00187735772039982,0.001402,3.52447201034483e-06,30,0.00366365772039982
